,Meter identifier,Aerial_info,dc_day,dc_month,dc_week,latitude,longitude
6952,M68074,No Aerial,100.0,100.0,100.0,-37.670165,175.143011
6953,M55579,No Aerial,100.0,100.0115741,100.0,-37.79054865,175.2342118
6954,M52397,No Aerial,100.0,100.0347222,100.0,-37.7931664,175.2301399
6955,M6016,No Aerial,100.0,100.0115741,100.0,-37.79330953,175.2304927
6956,M4871,No Aerial,100.0,100.0,100.0,-37.79301675,175.2300799
6957,M12090,No Aerial,100.0,100.0231481,100.0,-37.79330292,175.2314657
6958,M19662,No Aerial,100.0,100.0115741,100.0,-37.79375704,175.2304465
6959,M27915,No Aerial,100.0,100.0231481,100.0496032,-37.796745,175.2327283
6960,M47002,No Aerial,100.0,100.0231481,100.0,-37.78980667,175.2296617
6961,M7011,No Aerial,100.0,99.98842593,100.0,-37.78981833,175.2298633
6962,M22381,No Aerial,100.0,100.0115741,100.0,-37.79021167,175.22935
6963,M39362,No Aerial,100.0,100.0115741,100.0,-37.79001333,175.22982
6964,M5668,No Aerial,100.0,100.0,100.0,-37.79649667,175.2329583
6965,M6661,No Aerial,100.0,100.0115741,100.0,-37.79632,175.2330883
6966,M4270,No Aerial,100.0,100.0115741,100.0,-37.79635,175.23262
6967,M36401,No Aerial,100.0,100.0115741,100.0496032,-37.78729046,175.2326929
6968,M4017,No Aerial,100.0,100.0,100.0,-37.79380513,175.2304193
6969,M45370,No Aerial,100.0,100.0115741,100.0,-37.78942876,175.2342758
6970,M17439,No Aerial,100.0,100.0,100.0,-37.79698535,175.2322385
6971,M20850,No Aerial,100.0,100.0115741,100.0,-37.78811667,175.23026
6972,M620,No Aerial,100.0,99.98842593,100.0,-37.79005,175.2304983
6973,M11286,No Aerial,100.0,100.0810185,100.2480159,-37.79374,175.2290283
6974,M1574,No Aerial,100.0,99.98842593,100.0,-37.79218833,175.2292183
6975,M1501,No Aerial,100.0,100.0115741,100.0,-37.79222833,175.2291867
6976,M23772,No Aerial,100.0,100.0115741,100.0,-37.79476833,175.230185
6977,M6310,No Aerial,100.0,100.0,100.0,-37.411045,175.151567
6978,M31247,No Aerial,100.0,100.0115741,100.0,-37.54449014,175.171244
6979,M45853,No Aerial,99.30555556,99.38657407,99.30555556,-37.54575864,175.1692728
6980,M51443,No Aerial,100.0,100.0231481,100.0992063,-37.69097034,174.9987521
6981,M34739,No Aerial,100.0,99.49074074,99.6031746,-37.54533284,175.171021
6982,M9089,No Aerial,100.0,100.0231481,100.0,-37.54486026,175.1699338
6983,M35285,Aerial Installed - Enabled,100.0,99.91898148,99.85119048,-37.37688478,175.2161539
6984,M2498,No Aerial,100.0,100.0231481,100.0496032,-37.82100052,175.2234802
6985,M2380,No Aerial,100.0,100.0,100.0,-37.78820234,175.2342897
6986,M6805,No Aerial,100.0,100.0,100.0,-37.78949806,175.2346805
6987,M6309,No Aerial,100.0,99.07407407,99.55357143,-37.7842695,175.246394
6988,M458,No Aerial,100.0,99.56018519,99.95039683,-37.78645686,175.2402631
6989,M68276,No Aerial,100.0,99.98842593,99.90079365,-37.78270114,175.245984
6990,M53284,No Aerial,100.0,100.0115741,100.0,-37.78366916,175.2454084
6991,M132,No Aerial,100.0,100.0231481,100.0,-37.78827515,175.2367769
6992,M8201,No Aerial,100.0,100.0231481,100.0496032,-37.8094367,175.143365
6993,M34201,No Aerial,100.0,100.0347222,100.0496032,-37.79221206,175.2331013
6994,M32459,No Aerial,100.0,100.0115741,100.0,-37.67457339,175.1434512
6995,M49940,No Aerial,100.0,100.0115741,100.0,-37.64584505,175.2327983
6996,M22372,No Aerial,100.0,100.0115741,100.0,-37.78744,175.2344483
6997,M3800,No Aerial,100.0,100.0,100.0,-37.78559981,175.2402795
6998,M2645,No Aerial,98.95833333,99.17824074,99.25595238,-37.78380587,175.2492419
6999,M13990,No Aerial,100.0,100.0,100.0,-37.78435456,175.2466815
7000,M35921,No Aerial,100.0,100.0231481,100.0496032,-37.78388504,175.2470436
7001,M47978,No Aerial,100.0,100.0231481,100.0,-37.78411953,175.2467798
7002,M38047,No Aerial,100.0,100.0347222,100.0496032,-37.78344378,175.2475893
7003,M30178,No Aerial,100.0,100.0,100.0,-37.788113,175.237304
7004,M57646,No Aerial,100.0,100.0115741,100.0496032,-37.7876,175.2386467
7005,M25453,No Aerial,98.95833333,99.69907407,99.65277778,-37.7880027,175.239026
7006,M25948,No Aerial,100.0,99.98842593,99.95039683,-37.78855165,175.2368306
7007,M27107,No Aerial,100.0,99.05092593,98.80952381,-37.782868,175.247845
7008,M37924,No Aerial,100.0,99.98842593,99.95039683,-37.78639407,175.2409966
7009,M65714,No Aerial,98.26388889,98.88888889,98.90873016,-37.78938525,175.2357342
7010,M43780,No Aerial,100.0,100.0,100.0,-37.7879251,175.244914
7011,M14493,No Aerial,100.0,100.0115741,100.0496032,-37.647376,175.173133
7012,M62971,No Aerial,100.0,100.0462963,100.0,-37.687023,175.135086
7013,M46949,No Aerial,100.0,100.0,100.0,-37.719032,175.114228
7015,M12287,Aerial Installed - Enabled,100.0,98.72685185,100.0,-37.70941,174.92986
7016,M49943,No Aerial,100.0,98.73842593,100.0496032,-37.788543,174.869555
7017,M56897,No Aerial,100.0,98.71527778,100.0,-37.788513,174.868698
7021,M33725,No Aerial,100.0,100.0115741,100.0,-37.711971,175.115848
7022,M58905,No Aerial,100.0,100.0,100.0,-37.681228,175.159188
7023,M47869,No Aerial,100.0,100.0,100.0,-37.68188,175.159275
7024,M64769,No Aerial,100.0,100.0231481,100.0,-37.680401,175.160145
7025,M16664,No Aerial,100.0,100.0231481,100.0,-37.681381,175.15939
